Country,Technology,Grid connection,Year,Electricity generation (GWh)
Austria,Pumped storage,Off-grid,2008,0.0
Austria,Pumped storage,Off-grid,2009,0.0
Austria,Pumped storage,Off-grid,2010,0.0
Austria,Pumped storage,Off-grid,2011,0.0
Austria,Pumped storage,Off-grid,2012,0.0
Austria,Pumped storage,Off-grid,2013,0.0
Austria,Pumped storage,Off-grid,2014,0.0
Austria,Pumped storage,Off-grid,2015,0.0
Austria,Pumped storage,Off-grid,2016,0.0
Austria,Pumped storage,Off-grid,2017,0.0
Austria,Pumped storage,Off-grid,2018,0.0
Austria,Pumped storage,Off-grid,2019,0.0
Austria,Pumped storage,Off-grid,2020,0.0
Austria,Pumped storage,Off-grid,2021,0.0
Austria,Pumped storage,Off-grid,2022,0.0
Austria,Marine energy,On-grid,2000,0.0
Austria,Marine energy,On-grid,2001,0.0
Austria,Marine energy,On-grid,2002,0.0
Austria,Marine energy,On-grid,2003,0.0
Austria,Marine energy,On-grid,2004,0.0
Austria,Marine energy,On-grid,2005,0.0
Austria,Marine energy,On-grid,2006,0.0
Austria,Marine energy,On-grid,2007,0.0
Austria,Marine energy,On-grid,2008,0.0
Austria,Marine energy,On-grid,2009,0.0
Austria,Marine energy,On-grid,2010,0.0
Austria,Marine energy,On-grid,2011,0.0
Austria,Marine energy,On-grid,2012,0.0
Austria,Marine energy,On-grid,2013,0.0
Austria,Marine energy,On-grid,2014,0.0
Austria,Marine energy,On-grid,2015,0.0
Austria,Marine energy,On-grid,2016,0.0
Austria,Marine energy,On-grid,2017,0.0
Austria,Marine energy,On-grid,2018,0.0
Austria,Marine energy,On-grid,2019,0.0
Austria,Marine energy,On-grid,2020,0.0
Austria,Marine energy,On-grid,2021,0.0
Austria,Marine energy,On-grid,2022,0.0
Austria,Marine energy,Off-grid,2000,0.0
Austria,Marine energy,Off-grid,2001,0.0
Austria,Marine energy,Off-grid,2002,0.0
Austria,Marine energy,Off-grid,2003,0.0
Austria,Marine energy,Off-grid,2004,0.0
