Country,Technology,Year,Public Investments (2020 million USD)
Austria,Biogas,2003,0.0
Austria,Biogas,2004,0.0
Austria,Biogas,2005,0.0
Austria,Biogas,2006,0.0
Austria,Biogas,2007,0.0
Austria,Biogas,2008,0.0
Austria,Biogas,2009,0.0
Austria,Biogas,2010,0.0
Austria,Biogas,2011,0.0
Austria,Biogas,2012,0.0
Austria,Biogas,2013,0.0
Austria,Biogas,2014,0.0
Austria,Biogas,2015,0.0
Austria,Biogas,2016,0.0
Austria,Biogas,2017,0.0
Austria,Biogas,2018,0.0
Austria,Biogas,2019,0.0
Austria,Biogas,2020,0.0
Austria,Biogas,2021,0.0
Austria,Geothermal energy,2000,0.0
Austria,Geothermal energy,2001,0.0
Austria,Geothermal energy,2002,0.0
Austria,Geothermal energy,2003,0.0
Austria,Geothermal energy,2004,0.0
Austria,Geothermal energy,2005,0.0
Austria,Geothermal energy,2006,0.0
Austria,Geothermal energy,2007,0.0
Austria,Geothermal energy,2008,0.0
Austria,Geothermal energy,2009,0.0
Austria,Geothermal energy,2010,0.0
Austria,Geothermal energy,2011,0.0
Austria,Geothermal energy,2012,0.0
Austria,Geothermal energy,2013,0.0
Austria,Geothermal energy,2014,0.0
Austria,Geothermal energy,2015,0.0
Austria,Geothermal energy,2016,0.0
Austria,Geothermal energy,2017,0.0
Austria,Geothermal energy,2018,0.0
Austria,Geothermal energy,2019,0.0
Austria,Geothermal energy,2020,0.0
Austria,Geothermal energy,2021,0.0
Austria,Multiple renewables*,2000,0.0
Austria,Multiple renewables*,2001,0.0
Austria,Multiple renewables*,2002,0.0
Austria,Multiple renewables*,2003,0.0
Austria,Multiple renewables*,2004,0.0
Austria,Multiple renewables*,2005,0.0
Austria,Multiple renewables*,2006,0.0
Austria,Multiple renewables*,2007,0.0
Austria,Multiple renewables*,2008,0.0
Austria,Multiple renewables*,2009,0.0
Austria,Multiple renewables*,2010,0.0
Austria,Multiple renewables*,2011,0.0
Austria,Multiple renewables*,2012,0.0
Austria,Multiple renewables*,2013,0.0
Austria,Multiple renewables*,2014,0.0
Austria,Multiple renewables*,2015,30.49
Austria,Multiple renewables*,2016,0.0
Austria,Multiple renewables*,2017,167.71
Austria,Multiple renewables*,2018,0.0
Austria,Multiple renewables*,2019,0.0
Austria,Multiple renewables*,2020,0.0
Austria,Multiple renewables*,2021,0.0
Austria,Coal and peat,2000,0.0
Austria,Coal and peat,2001,0.0
Austria,Coal and peat,2002,0.0
Austria,Coal and peat,2003,0.0
Austria,Coal and peat,2004,0.0
Austria,Coal and peat,2005,0.0
Austria,Coal and peat,2006,0.0
Austria,Coal and peat,2007,0.0
Austria,Coal and peat,2008,0.0
Austria,Coal and peat,2009,0.0
Austria,Coal and peat,2010,0.0
Austria,Coal and peat,2011,0.0
Austria,Coal and peat,2012,0.0
Austria,Coal and peat,2013,0.0
Austria,Coal and peat,2014,0.0
Austria,Coal and peat,2015,0.0
Austria,Coal and peat,2016,0.0
Austria,Coal and peat,2017,0.0
Austria,Coal and peat,2018,0.0
Austria,Coal and peat,2019,0.0
Austria,Coal and peat,2020,0.0
Austria,Coal and peat,2021,0.0
Austria,Oil,2000,0.0
Austria,Oil,2001,0.0
Austria,Oil,2002,0.0
Austria,Oil,2003,0.0
Austria,Oil,2004,0.0
Austria,Oil,2005,0.0
Austria,Oil,2006,0.0
Austria,Oil,2007,0.0
Austria,Oil,2008,0.0
Austria,Oil,2009,0.0
